Entropy,File Size (bytes),Algorithm,File Name
7.999915912182725,2097152,Camellia (128-bit),random_2MB.bin
7.9965037342395595,51200,AES (128-bit),random_50KB.bin
7.9970183212861485,51200,3DES,random_50KB.bin
7.996614354919793,51200,ChaCha20,random_50KB.bin
7.996581660393426,51200,Camellia (128-bit),random_50KB.bin
7.958380775464617,5120,AES (128-bit),random_5KB.bin
7.96938987678263,5120,3DES,random_5KB.bin
7.962693359054409,5120,ChaCha20,random_5KB.bin
7.963776581851542,5120,Camellia (128-bit),random_5KB.bin
7.999964948886335,5242880,AES (128-bit),random_5MB.bin
7.999964588107097,5242880,3DES,random_5MB.bin
7.999967420802484,5242880,ChaCha20,random_5MB.bin
7.999965482794941,5242880,Camellia (128-bit),random_5MB.bin
7.998353583711897,102400,AES (128-bit),zero_filled_100KB.bin
7.998068890440197,102400,3DES,zero_filled_100KB.bin
7.998033137716275,102400,ChaCha20,zero_filled_100KB.bin
7.998438029367209,102400,Camellia (128-bit),zero_filled_100KB.bin
7.9825611530066425,10240,AES (128-bit),zero_filled_10KB.bin
7.9818150459510635,10240,3DES,zero_filled_10KB.bin
7.9801447635786955,10240,ChaCha20,zero_filled_10KB.bin
7.981767398818115,10240,Camellia (128-bit),zero_filled_10KB.bin
7.999980221635352,10485760,AES (128-bit),zero_filled_10MB.bin
7.999982615965779,10485760,3DES,zero_filled_10MB.bin
7.999983040901584,10485760,ChaCha20,zero_filled_10MB.bin
7.999983070837575,10485760,Camellia (128-bit),zero_filled_10MB.bin
7.779580140613806,1024,AES (128-bit),zero_filled_1KB.bin
7.826659443626399,1024,3DES,zero_filled_1KB.bin
7.792589648829608,1024,ChaCha20,zero_filled_1KB.bin
7.814138917618038,1024,Camellia (128-bit),zero_filled_1KB.bin
7.99983203346577,1048576,AES (128-bit),zero_filled_1MB.bin
7.999806061500264,1048576,3DES,zero_filled_1MB.bin
7.999830439656992,1048576,ChaCha20,zero_filled_1MB.bin
7.999829485014006,1048576,Camellia (128-bit),zero_filled_1MB.bin
7.9915106467049695,20480,AES (128-bit),zero_filled_20KB.bin
7.992119152011796,20480,3DES,zero_filled_20KB.bin
7.993588840574646,20480,ChaCha20,zero_filled_20KB.bin
7.99140150494667,20480,Camellia (128-bit),zero_filled_20KB.bin
7.999991044739768,20971520,AES (128-bit),zero_filled_20MB.bin
7.999991906278649,20971520,3DES,zero_filled_20MB.bin
7.999991418864119,20971520,ChaCha20,zero_filled_20MB.bin
7.999991040811883,20971520,Camellia (128-bit),zero_filled_20MB.bin
7.893058386036253,2048,AES (128-bit),zero_filled_2KB.bin
7.900995369125837,2048,3DES,zero_filled_2KB.bin
7.910706302657998,2048,ChaCha20,zero_filled_2KB.bin
7.908030595643338,2048,Camellia (128-bit),zero_filled_2KB.bin
7.999910725490055,2097152,AES (128-bit),zero_filled_2MB.bin
7.99991140913,2097152,3DES,zero_filled_2MB.bin
7.9999098264900645,2097152,ChaCha20,zero_filled_2MB.bin
7.999906192592435,2097152,Camellia (128-bit),zero_filled_2MB.bin
7.996276338481161,51200,AES (128-bit),zero_filled_50KB.bin
7.995821708172957,51200,3DES,zero_filled_50KB.bin
7.996483600818168,51200,ChaCha20,zero_filled_50KB.bin
7.996530816254469,51200,Camellia (128-bit),zero_filled_50KB.bin
7.964626887630802,5120,AES (128-bit),zero_filled_5KB.bin
7.9646361098011225,5120,3DES,zero_filled_5KB.bin
7.96163656471894,5120,ChaCha20,zero_filled_5KB.bin
7.957268025126162,5120,Camellia (128-bit),zero_filled_5KB.bin
7.999962902606916,5242880,AES (128-bit),zero_filled_5MB.bin
7.9999670552517825,5242880,3DES,zero_filled_5MB.bin
7.999965047480371,5242880,ChaCha20,zero_filled_5MB.bin
7.999964357408691,5242880,Camellia (128-bit),zero_filled_5MB.bin
